 Calc. Energy    Model Energy     DM1 Trace
-3662.2349707545 -3662.2393083229    12.0000000000
-3662.2346266714 -3662.2401160848    12.0000000000
-3662.2329907100 -3662.2332572287    12.0000000000
-3662.2326814230 -3662.2336446165    12.0000000000
-3662.2297747811 -3662.2257129711    12.0000000000
-3662.2287733122 -3662.2316598773    12.0000000000
-3662.2281444530 -3662.2317806799    12.0000000000
-3662.2248025222 -3662.2219581801    12.0000000000
-3662.2244284978 -3662.2234991522    12.0000000000
-3662.2242711981 -3662.2215448169    12.0000000000
-3662.2240913780 -3662.2243088733    12.0000000000
-3662.2202097753 -3662.2173144301    12.0000000000
-3662.2199206064 -3662.2179167598    12.0000000000
-3662.2191482348 -3662.2169923100    12.0000000000
-3662.2186057215 -3662.2214536601    12.0000000000
-3662.2184773293 -3662.2188330990    12.0000000000
-3662.2180853699 -3662.2160019381    12.0000000000
-3662.2169032577 -3662.2151302578    12.0000000000
-3662.2155634611 -3662.2189142916    12.0000000000
-3662.2149622853 -3662.2109283205    12.0000000000
-3662.2141894829 -3662.2145432479    12.0000000000
-3662.2140048113 -3662.2146530093    12.0000000000
-3662.2137509959 -3662.2206717015    12.0000000000
-3662.2128464577 -3662.2169411797    12.0000000000
-3662.2120427701 -3662.2167688765    12.0000000000
-3662.2103255168 -3662.2166797418    12.0000000000
-3662.2086731881 -3662.2137040136    12.0000000000
-3662.2086240662 -3662.2152856021    12.0000000000
-3662.2084958029 -3662.2147781521    12.0000000000
-3662.2082909505 -3662.2165696023    12.0000000000
-3662.3125909567 -3662.3117129030    12.0000000000
-3662.3122083204 -3662.3115302547    12.0000000000
-3662.3069000101 -3662.3075134558    12.0000000000
-3662.3066359787 -3662.3078459793    12.0000000000
-3662.3032489156 -3662.2977063477    12.0000000000
-3662.3031391843 -3662.2964164613    12.0000000000
-3662.2994858511 -3662.2909190012    12.0000000000
-3662.2979742970 -3662.2918362314    12.0000000000
-3662.2970180856 -3662.2935828325    12.0000000000
-3662.2913604552 -3662.2882862803    12.0000000000
-3662.2506049692 -3662.2529168966    12.0000000000
-3662.2498318436 -3662.2525529296    12.0000000000
-3662.2484293555 -3662.2486247365    12.0000000000
-3662.2481872273 -3662.2475500178    12.0000000000
-3662.2452295879 -3662.2435075566    12.0000000000
-3662.2447939010 -3662.2489018114    12.0000000000
-3662.2438059107 -3662.2476993628    12.0000000000
-3662.2419301191 -3662.2350146383    12.0000000000
-3662.2416971492 -3662.2349703933    12.0000000000
-3662.2415699599 -3662.2352184789    12.0000000000
-3662.2415694062 -3662.2356927044    12.0000000000
-3662.2372492126 -3662.2339552747    12.0000000000
-3662.2368838042 -3662.2388712233    12.0000000000
-3662.2359929811 -3662.2342224342    12.0000000000
-3662.2352819662 -3662.2393171349    12.0000000000
-3662.2348387825 -3662.2332095409    12.0000000000
-3662.2347513074 -3662.2415071858    12.0000000000
-3662.2342619495 -3662.2399555630    12.0000000000
-3662.2339001752 -3662.2369718953    12.0000000000
-3662.2330978243 -3662.2283370970    12.0000000000
-3662.3442135188 -3662.3425571674    12.0000000000
-3662.3433194069 -3662.3418880633    12.0000000000
-3662.3375055162 -3662.3392338057    12.0000000000
-3662.3367693558 -3662.3386427819    12.0000000000
-3662.3309193293 -3662.3311345181    12.0000000000
-3662.3308712309 -3662.3262757314    12.0000000000
-3662.3276453635 -3662.3267632071    12.0000000000
-3662.3249889944 -3662.3270772953    12.0000000000
-3662.3239233212 -3662.3223693939    12.0000000000
-3662.3183862338 -3662.3257640826    12.0000000000
-3662.3065709764 -3662.3020155923    12.0000000000
-3662.3051860296 -3662.3005865209    12.0000000000
-3662.3046933189 -3662.3003686255    12.0000000000
-3662.3039567050 -3662.3073372635    12.0000000000
-3662.3035898231 -3662.3066624734    12.0000000000
-3662.2990496305 -3662.3043344142    12.0000000000
-3662.2988087657 -3662.3036046217    12.0000000000
-3662.2939986434 -3662.2947552394    12.0000000000
-3662.2938580347 -3662.2957247398    12.0000000000
-3662.2935674127 -3662.2970426597    12.0000000000
-3662.2918955615 -3662.2915780067    12.0000000000
-3662.2887997380 -3662.2933351740    12.0000000000
-3662.2883950623 -3662.2930541094    12.0000000000
-3662.2876628905 -3662.2945423617    12.0000000000
-3662.2827314597 -3662.2891171384    12.0000000000
-3662.2484350458 -3662.2419952971    12.0000000000
-3662.2480648403 -3662.2361870243    12.0000000000
-3662.2469565400 -3662.2453726756    12.0000000000
-3662.2466041399 -3662.2377958348    12.0000000000
-3662.2449317877 -3662.2291105100    12.0000000000
