 Calc. Energy    Model Energy     DM1 Trace
-3662.2349707545 -3662.2388992604    12.0000000000
-3662.2346266714 -3662.2390775197    12.0000000000
-3662.2329907100 -3662.2327686261    12.0000000000
-3662.2326814230 -3662.2335403643    12.0000000000
-3662.2297747811 -3662.2259843948    12.0000000000
-3662.2287733122 -3662.2314743190    12.0000000000
-3662.2281444530 -3662.2307489082    12.0000000000
-3662.2248025222 -3662.2205460636    12.0000000000
-3662.2244284978 -3662.2227890716    12.0000000000
-3662.2242711981 -3662.2201601758    12.0000000000
-3662.2240913780 -3662.2235053572    12.0000000000
-3662.2202097753 -3662.2158906399    12.0000000000
-3662.2199206064 -3662.2169899951    12.0000000000
-3662.2191482348 -3662.2162159746    12.0000000000
-3662.2186057215 -3662.2199912553    12.0000000000
-3662.2184773293 -3662.2175726492    12.0000000000
-3662.2180853699 -3662.2177421432    12.0000000000
-3662.2169032577 -3662.2165743425    12.0000000000
-3662.2155634611 -3662.2183711613    12.0000000000
-3662.2149622853 -3662.2142315802    12.0000000000
-3662.2141894829 -3662.2185267798    12.0000000000
-3662.2140048113 -3662.2153443138    12.0000000000
-3662.2137509959 -3662.2185904821    12.0000000000
-3662.2128464577 -3662.2165306898    12.0000000000
-3662.2120427701 -3662.2141560732    12.0000000000
-3662.2103255168 -3662.2160133228    12.0000000000
-3662.2086731881 -3662.2150234979    12.0000000000
-3662.2086240662 -3662.2158945456    12.0000000000
-3662.2084958029 -3662.2132297926    12.0000000000
-3662.2082909505 -3662.2151108739    12.0000000000
-3662.3125909567 -3662.3123630676    12.0000000000
-3662.3122083204 -3662.3121945423    12.0000000000
-3662.3069000101 -3662.3074775029    12.0000000000
-3662.3066359787 -3662.3078553326    12.0000000000
-3662.3032489156 -3662.2959241198    12.0000000000
-3662.3031391843 -3662.2971281459    12.0000000000
-3662.2994858511 -3662.2911594266    12.0000000000
-3662.2979742970 -3662.2916236678    12.0000000000
-3662.2970180856 -3662.2910235316    12.0000000000
-3662.2913604552 -3662.2881976046    12.0000000000
-3662.2506049692 -3662.2543924997    12.0000000000
-3662.2498318436 -3662.2535011380    12.0000000000
-3662.2484293555 -3662.2483449748    12.0000000000
-3662.2481872273 -3662.2473582650    12.0000000000
-3662.2452295879 -3662.2424509283    12.0000000000
-3662.2447939010 -3662.2467952738    12.0000000000
-3662.2438059107 -3662.2450398710    12.0000000000
-3662.2419301191 -3662.2362009975    12.0000000000
-3662.2416971492 -3662.2368962226    12.0000000000
-3662.2415699599 -3662.2368108335    12.0000000000
-3662.2415694062 -3662.2370517120    12.0000000000
-3662.2372492126 -3662.2398284190    12.0000000000
-3662.2368838042 -3662.2381218101    12.0000000000
-3662.2359929811 -3662.2363500634    12.0000000000
-3662.2352819662 -3662.2359192302    12.0000000000
-3662.2348387825 -3662.2338902134    12.0000000000
-3662.2347513074 -3662.2404741054    12.0000000000
-3662.2342619495 -3662.2362553963    12.0000000000
-3662.2339001752 -3662.2388630056    12.0000000000
-3662.2330978243 -3662.2306292583    12.0000000000
-3662.3442135188 -3662.3418085903    12.0000000000
-3662.3433194069 -3662.3408778097    12.0000000000
-3662.3375055162 -3662.3376956617    12.0000000000
-3662.3367693558 -3662.3367747937    12.0000000000
-3662.3309193293 -3662.3322577096    12.0000000000
-3662.3308712309 -3662.3287149561    12.0000000000
-3662.3276453635 -3662.3271369214    12.0000000000
-3662.3249889944 -3662.3271609855    12.0000000000
-3662.3239233212 -3662.3240579788    12.0000000000
-3662.3183862338 -3662.3256750418    12.0000000000
-3662.3065709764 -3662.3038360596    12.0000000000
-3662.3051860296 -3662.3036305908    12.0000000000
-3662.3046933189 -3662.3043355743    12.0000000000
-3662.3039567050 -3662.3077452445    12.0000000000
-3662.3035898231 -3662.3070578769    12.0000000000
-3662.2990496305 -3662.3041059409    12.0000000000
-3662.2988087657 -3662.3033227392    12.0000000000
-3662.2939986434 -3662.2941750585    12.0000000000
-3662.2938580347 -3662.2943713756    12.0000000000
-3662.2935674127 -3662.2983191692    12.0000000000
-3662.2918955615 -3662.2910744729    12.0000000000
-3662.2887997380 -3662.2942160974    12.0000000000
-3662.2883950623 -3662.2910332641    12.0000000000
-3662.2876628905 -3662.2892478490    12.0000000000
-3662.2827314597 -3662.2896029380    12.0000000000
-3662.2484350458 -3662.2440942900    12.0000000000
-3662.2480648403 -3662.2357808943    12.0000000000
-3662.2469565400 -3662.2479326712    12.0000000000
-3662.2466041399 -3662.2364917204    12.0000000000
-3662.2449317877 -3662.2292943404    12.0000000000
